tx_a,tx_b,approximation,overall,comment
0x00bbcd8c40fe87eaba0c3bcc978a616d5f40a05734a22bf9b0cc9dbf95c59fb0,0x09cdb2dd96bd52e8083416ac6e6b9c07bece318f133c92507b6245d494a5ea7d,TOD,not TOD,balancing
0x08264da79678d1820d53e887481f2955890320b82eab8a2638b7c8633d7f5a53,0xf339d3de5c7b6e6518a32bb45d4606ea3c3cc6d040b856986f9bb09131ac91b5,TOD,not TOD,mirrored
0x0b6fb4e1c017e14618908205cdc78536e089bf4ea9e5d944ce00d46667a60f1c,0x8ebc6d625334cd3513005886f96df056021a86e732fff6bb07e81b02a1fcef85,not TOD,TOD,A no changes after B
0x0c8c62eaf3750a92174c0746dbcb71352abd9b0e19b7b2a56b1558f106fcb184,0x484aeddd7bc2a120112b582b5338c2d0171a561b576cda9b21656fa9e81860c9,TOD,not TOD,balancing
0x0a41db7b5f2f4884e506419c35cffa4199ee77f4d5f9b80d2a6cd7da9a00bd92,0x265e1b80ce78c6e9ee71b7f88eb5b0a0e2ab0eb37d518761490e07aa289aa50c,TOD,not TOD,mirrored
0x0a7edace6bcb74ef232d000ad435d514dd67c6163813eb0213adfa988f844386,0xdbb4e3e1f74788acec6a1fb631fc921ba71fe5ff609534cff99a24ec39cac36c,TOD,not TOD,mirrored
0x10391af3ba04562c6dbe1b83b2920fac1d60dd31956008054729581e8e51e1f0,0x073e991104c566c819f9c3cf756a9717a2f50b2bb3c307b001cc6c0c5072ec5b,TOD,replay diverged,
0x19819fc9eea3d0e9d14cb89963f32ccea698cf6eeee16cde45fcb37de0b9b53a,0x3fdc1b36bc60f034dd688f2a1490f8eced2f0810c532c9ecdee7bf3dd4256329,not TOD,TOD,only A has changes
0x25084a8f6c54d56425619f69b0d93abe12e1a06488016797f84df90f29ef6631,0x29e4279e53152c5998a072bfa87554a7e8529df46c9e60a5cefa1d7da143c8ee,not TOD,TOD,A no changes after B
0x29e4279e53152c5998a072bfa87554a7e8529df46c9e60a5cefa1d7da143c8ee,0x2940b805976812ebb7af0fdea45940057ae192e02483263687abcc5d3aec331f,TOD,not TOD,mirrored
0x308d3568d31e4881393ed5687725c38b7e201a5dafa1977cd72a2a37afcd6154,0x2ec0d7f5f7a4fbb48a3d80e886a36382c1b425d23759c515dc18ff9fb0dcd94f,TOD,not TOD,mirrored
0x31b45981915bc36cdc752c60aa00de20021d70dbf82ea6fa93b8b64a82e7ab6e,0xfb71cf4400864c69dcda9003d2b51ffa47aaa02c3e88637f4835b800e4a660a2,TOD,not TOD,mirrored
0x31f309e0d5ea5a413befede8b12083638026dea3a748ff542a903d7fcf4c76d0,0x29648d6d808997911ff116eb2ca8c98b0ef6c3b145911f00cb38e93b3be25ae5,not TOD,replay diverged,
0x331b050b19fdbffb6798f1da632599e366243496a67b31c5229f13efd1c1009d,0xdb830e3937d8065ab42391c975f5ed06b8a2381b647b080835527c9e68812f5c,TOD,not TOD,balancing
0x349768aed1a125363e9cc4fe48d4845cf688f95f6655f188a032ab1033f98671,0x3f9d49a355ad55be46821933f22f4080acbfb2066252033bfdc4b332e782b98c,TOD,not TOD,mirrored
0x3f44d49f0517569755848cd8eeed3d1f97d5045531788aabb570f2601c6b5d88,0xe22140215b4d3cb1a911325776c9cff362b89d335c9e230d2ee3226054f743b5,error,TOD,
0x42964ccf216e2af91ac6b1fc564c90bb1a1113d7a31c4d09864891632daf7caf,0x146794202fe1c79a16e21bd17164771087dea46aea65e43dba4c5e6210bcee01,not TOD,TOD,only A has changes
0x4241e1c622f0050e7ad318463e6d3370be20f94921f1cd988f1599e7dc6040c7,0x9ec723c2f7a1e533b170629e3bbcb6a157e7a068693e85f6ac4317eed825592b,TOD,not TOD,mirrored
0x480e8b299da198acd5e9af3b977e3bddf0aa39653a9aba5e136e1bb2368b0f26,0x4753fbad0bd23e3ba27544e39aa7cab1ed9169630c6288a7b77c690950b29cf8,not TOD,TOD,only A has changes
